app_name,prv_com.google.firebase.provider.firebaseinitprovider,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,act_com.google.android.play.core.common.playcoredialogwrapperactivity,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,act_com.google.android.gms.ads.outofcontexttestingactivity,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,perm_android.permission.post_notifications,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.measurement.appmeasurementjobservice,srv_com.google.android.gms.ads.adservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_ad_id,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,act_com.google.android.gms.common.api.googleapiactivity,perm_android.permission.access_adservices_attribution,prv_androidx.startup.initializationprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,srv_com.google.firebase.components.componentdiscoveryservice,perm_android.permission.foreground_service,srv_com.google.android.gms.measurement.appmeasurementservice,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.profileinstaller.profileinstallreceiver,srv_androidx.room.multiinstanceinvalidationservice,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,perm_android.permission.access_adservices_topics,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file,total_bytes,std_packet_size,high_dns_queries,ip_only_traffic,dns_queries,frequent_beaconing_detected,unique_flows,many_unique_ips,uncommon_ports_used,unique_dest_ips,suspicious_user_agent,skew_packet_size,avg_packet_size,max_packet_size,min_inter_arrival_time,total_packets,min_packet_size,flow_entropy,max_inter_arrival_time,avg_inter_arrival_time,avg_flow_duration,label
weather_radar_alert,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,17.60476251576239,10.031008029870492,0,1,0.0,0,2.1972245773362196,0,0,1.9459101490553132,0,0.3856711221440504,9.285137903739214,11.088476294450215,0.0,8.31996102188653,3.044522437723423,0.7320627605912666,2.956029291188763,0.0149651365123604,0.0149651365123604,0
screenrecorder_recorder_editor,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,18.434346490824037,10.22323314392125,0,1,0.0,0,2.3978952727983707,0,0,2.0794415416798357,0,0.496033842919711,9.785129233139251,11.088476294450215,0.0,8.649448770536708,3.8918202981106265,0.723085183594228,3.2903681234871907,0.0098025227051756,0.0098025227051756,0
redwhite_cricket_liveline_score,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,17.205733102479197,10.06646799664002,0,1,0.0,1,2.70805020110221,0,0,2.302585092994046,0,0.4017768541944412,9.369448602274725,11.088476294450215,0.0,7.836764783264067,3.8918202981106265,0.7764693670697638,2.4286297295931973,0.0226018698051686,0.0226018698051686,0
us_zoom_videomeetings,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,19.31749705834361,10.260035510613836,0,1,0.0,0,2.772588722239781,0,0,2.3978952727983707,0,0.5282401224538507,9.905082419764884,11.089209824443223,0.0,9.412546252075511,4.110873864173311,0.7492115633223303,2.8976612374840727,0.0045414351079293,0.0045414351079293,0
th_co_bualuang_blsgo,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,18.083409440162,10.19514879961416,0,1,0.0,0,2.4849066497880004,0,0,2.1972245773362196,0,0.4743123092753911,9.700952365094084,11.088476294450215,0.0,8.382747094863314,3.8918202981106265,0.7681672658074983,2.7572186450777383,0.0126991756759615,0.0126991756759615,0
videoeditor_videomaker_videoeditorforyoutube,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,17.860804939715635,10.063221500937598,0,1,0.0,0,2.0794415416798357,0,0,1.9459101490553132,0,0.3950150625012526,9.345100108115355,11.088476294450215,0.0,8.515992470839718,4.110873864173311,0.7613955151473699,3.3271028060975256,0.0114849228563214,0.0114849228563214,0
za_co_shoprite_sixty60,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,19.040853133911934,10.21588222301544,0,1,0.0,0,2.4849066497880004,0,0,2.1972245773362196,0,0.4842737984569421,9.74760967172402,11.088476294450215,0.0,9.293393927111468,3.8918202981106265,0.733755898863624,2.8914882975679763,0.0051520913812064,0.0051520913812064,0
railrestro_mobile_app,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,16.823019365134762,9.978967158631358,0,1,0.0,0,2.6390573296152584,0,0,2.302585092994046,0,0.3640389017319213,9.16489644426727,11.088476294450215,0.0,7.6586995582682995,3.044522437723423,0.8470483183458484,2.7086043230609715,0.0275431607641339,0.0275431607641339,0
todolist_scheduleplanner_dailyplanner_todo_reminders,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,17.40434470674075,10.11405668365955,0,1,0.0,0,2.0794415416798357,0,0,1.9459101490553132,0,0.4250763728265738,9.485064469508094,11.088476294450215,0.0,7.919719760924575,4.110873864173311,0.738052408432888,2.864240683947057,0.0198678862629542,0.0198678862629542,0
ru_yandex_weatherplugin,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,17.952087032305524,10.18777167014644,0,1,0.0,1,2.302585092994046,0,0,2.0794415416798357,0,0.4687186649485211,9.67881301554267,11.088476294450215,0.0,8.273591798199632,3.044522437723423,0.7521198928283259,2.566352840947487,0.0145738909329841,0.0145738909329841,0
