app_name,access_location,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,used_requestnetwork,write_file
00104DF0BDA5BEE7E5CFDDD5EC581150EFC4F495EA0971ED07AA5DDF877D6D66,0,0,0,0,0,0,1
00105A837C446B9DDDD8B89ED85BB786A8AC952094886022A679ECBDE3849DF2,0,0,0,0,0,0,1
00125D0055C95E7D35B1EB81F6AE76BD00698DDE259F297E6D16D45536013CEC,1,0,0,0,0,0,1
0014ACC8F710F1211F7C0E235B8C324D1D26281A552CAACC9051895768C74693,0,0,0,0,1,1,1
00052B3AB096E61C3008AE77AA6C7DE22C28B08CFB61BCCDFC6128F373209139,1,1,0,0,1,1,1
00111F5CF230E2DD9BD66989E8EBDE87D881CB9A88C2C06DA94AEA4C3CD2FA12,0,0,0,0,0,0,1
0010CA64CA1061B2118072D529B29B5D2F1AE1588DA6A4475B3171D7E1DC53D1,0,0,0,0,0,0,1
0012A8B25CBE4F7D6FCB939E219C5520FFA0020C6081B7E881AC462EE3870CC3,0,0,0,0,1,1,1
00110993E74DD0A8866FAD0CB32C967068B20523E2DA290B1D1094E577F0D6D3,1,0,0,0,1,0,1
0012A6F19CCAC2B8DE3AA248B743ABBABAD43E7D09F000FB232155D1BE901C8E,1,0,0,0,0,0,1
001201402F873F4971ECB75B1987DC3FAB3007C22D43AC433AF0D8EE20A3C4E9,0,0,0,0,0,0,1
videopalyer_hd_video_music_player,0,0,0,0,0,0,1
us_zoom_videomeetings4intune,1,0,0,0,0,0,1
th_co_bualuang_blsgo,1,0,0,0,0,0,1
redwhite_cricket_liveline_score,1,1,0,0,1,0,1
za_co_shoprite_sixty60,1,0,0,0,0,0,1
video_player_audio_player_music,0,0,0,0,0,0,1
tech_baatu_parentcop,0,0,0,0,0,0,1
ringtonemaker_musiccutter_customringtones_freeringtonemaker,0,0,0,0,0,0,1
rto_owner_address_parivahan_car_malik_address_finder,0,0,0,0,0,0,1
videoeditor_videomaker_videoeditorforyoutube,0,0,0,0,0,0,1
tuat_kr_sullivan,0,0,0,0,0,0,1
uplayer_video_player,0,0,0,0,0,0,1
wp_wattpad,1,0,0,0,0,0,1
todolist_scheduleplanner_dailyplanner_todo_reminders,0,0,0,0,0,0,1
to_blend_mobile_app,1,0,0,0,0,0,1
us_zoom_videomeetings,1,1,0,0,0,0,1
video_player_videoplayer,0,0,0,0,0,0,1
railrestro_mobile_app,1,1,0,0,1,0,1
weather_radar_alert,0,0,0,0,0,0,1
revive_app,1,0,0,0,0,0,1
screenrecorder_recorder_editor,1,0,0,0,0,0,1
yesmadamservices_app_com_yesmadamservices,1,0,0,0,0,0,1
zynoff_mobile,0,0,0,0,1,0,1
ru_yandex_weatherplugin,1,0,0,0,0,0,1
000117948810F5DE07F0B296F68535C72B68E4A74B695CE08C488E319FCBF906,0,0,0,0,1,1,1
000371520366622D75A974E3DA635976A5F8D6569A5D2CAEB08BDAB46E842734,1,1,0,1,1,1,1
00010212C58DAC25E27496BF1BADAFBEABE2613C3D772EDAA97C2906A8DD8E6E,1,0,0,0,1,0,1
000234B3B17AA773825C5CC4512702ADD18509BDEBB039F36AA6F5D0EE7A78B6,1,0,0,1,1,1,1
00036ABBB6497F684E879A70E1AE4759342DF4E559486639ED55657F155B6351,0,0,0,0,0,0,1
0002996DF1C09CEE8CAA4E44AD873BB838272F25DE5EB2B7640D4FC5CC1E47C5,1,0,0,0,0,0,1
0001EF3DC57C9905FE7EAD593F2C3C092AAE46FA924116EAA704BE896106371D,0,0,0,0,0,0,1
00026A23B3B23660F09F453907E84BF0DF8F4DBD3D28725AEC5B1D725D4BAD70,0,0,0,0,0,0,1
00021820DEB84161664762DB6DFDD14359A3DC2C7F7C0E0BD7587DC4005E0A3A,0,0,0,0,0,0,1
000361DE8A2FA316B685ADABA1FB6BA0499182E773E8621E958337CAF931EFFB,0,0,0,0,0,0,1
00018B522A51D6573A615153E7BFB33AC961BF5EF604AC7EDB04072CE238B9AF,1,0,0,0,1,0,1
