app_name,rcv_com.google.firebase.iid.firebaseinstanceidreceiver,srv_com.google.android.gms.measurement.appmeasurementservice,perm_android.permission.read_phone_state,srv_com.google.android.gms.ads.adservice,prv_com.google.android.gms.ads.mobileadsinitprovider,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,srv_com.google.android.gms.auth.api.signin.revocationboundservice,perm_android.permission.change_wifi_state,act_com.facebook.facebookactivity,used_requestnetwork,activity_started,has_fatal_exception,read_contacts,access_location,total_packets,unique_dest_ips,frequent_beaconing_detected,avg_packet_size,max_packet_size,min_packet_size,avg_flow_duration,flow_entropy,max_inter_arrival_time,label
com_casttv_castforchromecast_screencast,1,1,0,1,1,1,0,1,0,0,0,0,0,0,8.19478163844336,2.19722457733622,0,9.740205380431917,11.088476294450215,3.8918202981106265,0.0153801015372984,0.7665359206008361,3.208370241929695,0
com_circular_pixels,1,1,0,0,0,1,1,0,0,0,0,0,0,1,8.006700845440367,2.302585092994046,0,9.5885233280846,11.088476294450215,3.8918202981106265,0.0194240088353785,0.8363224637635237,3.219064129205087,0
com_coindcx_btc,1,1,0,0,0,1,1,0,0,0,0,0,0,1,8.929170383139624,2.19722457733622,0,9.842376635695633,11.088476294450215,3.8918202981106265,0.0074497798569703,0.7665354097565302,2.9511899257017693,0
com_catalinagroup_callrecorder,1,1,1,1,1,1,1,0,1,0,0,0,0,1,7.797291273547472,2.6390573296152584,0,9.368469563517731,11.088476294450215,3.044522437723423,0.0231624622657332,0.9639524959299623,2.722926733648324,0
com_chatrandom_strangerchat_randomchat,1,1,0,1,1,1,1,0,1,0,0,0,0,0,8.114025442356757,2.5649493574615367,0,9.502095947813247,11.088476294450215,3.8918202981106265,0.0175401125232605,0.9003329185245892,2.702948275074048,0
com_collabow,1,1,0,0,0,1,1,0,0,0,0,0,0,1,7.844632644464681,2.4849066497880004,0,9.156887781677923,11.088476294450215,3.8918202981106265,0.0239056742394747,0.944371783462908,3.386772780575188,0
com_camerasideas_trimmer,0,1,0,1,1,1,0,0,0,0,0,0,0,1,8.324093761450404,2.5649493574615367,1,9.517166783815384,11.088476294450215,4.110873864173311,0.0146657803124142,0.8762938036917928,2.3244856165330603,0
com_cleartrip_android,1,1,1,0,0,1,1,0,0,0,0,0,0,1,8.047189562170502,2.5649493574615367,0,9.449655024196378,11.088476294450215,3.044522437723423,0.0186128341222713,0.8990204912363913,2.441028956265063,0
com_booking,1,1,1,0,0,1,1,0,0,0,0,0,0,1,9.505320746909074,2.4849066497880004,0,9.484108984929264,11.088476294450215,4.110873864173311,0.0046673386112474,0.7429669342613138,0.4072096043170594,0
com_candelalabs_devbytes,1,1,0,0,0,1,1,0,0,0,0,0,0,1,7.505492274737424,2.302585092994046,0,9.045583257003482,11.088476294450215,3.8918202981106265,0.0315980196032332,0.8796782851373782,2.7655751225166427,0
com_codifi_goodwill,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8.11522197256233,2.302585092994046,0,9.611448394100671,11.088476294450215,3.8918202981106265,0.0168627075694927,0.7882929150247937,2.7656264868701004,0
com_comuto,1,1,0,1,1,1,0,0,1,0,0,0,0,1,8.797095076549056,2.302585092994046,1,9.811632824563166,11.088476294450215,3.044522437723423,0.0092610392430012,0.7900146429381629,3.195710855099812,0
com_confirmtkt_lite,1,1,1,1,1,1,1,0,1,0,0,0,0,1,7.86403565907245,2.3978952727983707,0,9.33414245612921,11.088476294450215,3.8918202981106265,0.0219046894440797,0.9298707653182976,3.0020061582743423,0
com_brave_browser,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.669030241321645,2.70805020110221,0,9.610555475344682,11.088476294450215,3.8918202981106265,0.0039486970995972,0.7447914450141055,0.4073619146509277,0
com_camerasideas_instashot,1,1,0,1,1,1,1,0,0,0,0,0,0,1,9.20673387638207,2.4849066497880004,0,9.18067607947737,11.088476294450215,3.044522437723423,0.0062404119717161,0.7755168266413359,0.4074824772150334,0
com_chowman_ordering,1,1,0,0,0,0,1,0,0,0,0,0,0,1,8.169336395928386,2.4849066497880004,0,9.498338166537168,11.088476294450215,3.8918202981106265,0.0159140205961534,0.8909572179342905,2.72531732781266,0
com_cleanapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241703159729818,2.19722457733622,0,9.581765642531227,11.088476294450215,3.8918202981106265,0.0147891544240964,0.798068821264935,2.6132475317418367,0
com_bigbasket_mobileapp,1,1,1,0,0,1,1,0,1,0,0,0,0,1,10.135709767783542,2.772588722239781,0,8.21650677079986,11.088476294450215,3.8918202981106265,0.0024201283070001,0.7758378588511966,0.9954619591263988,0
com_syst_tufeelive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.461640392208575,2.19722457733622,0,9.093834467536468,11.088476294450215,3.8918202981106265,0.0336052749141177,0.7601815496220263,2.855462906733091,0
com_spotify_music,1,0,1,0,0,1,1,0,1,0,0,0,0,1,8.555259392222693,2.302585092994046,0,9.81619118141818,11.088476294450215,3.8918202981106265,0.0114806807137748,0.7818332692041354,3.037625566740039,0
com_sweetkaram_shopifyapp,1,1,0,0,0,1,1,0,1,0,0,0,0,0,7.893945138235959,2.302585092994046,0,9.574040176982448,11.088476294450215,3.8918202981106265,0.0210866776217591,0.7606961602269262,3.126766149238205,0
com_snapchat_android,1,0,1,0,0,1,1,1,0,1,1,0,1,1,9.158520623246384,2.3978952727983707,1,9.819916629921789,11.088476294450215,3.8918202981106265,0.0046821313411247,0.7648655983885309,2.281419679635538,0
com_suntv_sunnxt,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8.079927770758275,2.6390573296152584,1,9.551943299088128,11.088476294450215,3.044522437723423,0.016577575696872,0.929225411612805,2.287365155996544,0
com_todoist,1,1,0,0,0,1,1,0,1,0,0,0,0,1,8.033334015880062,2.19722457733622,0,9.679538276680605,11.088476294450215,3.044522437723423,0.0166237082572935,0.780691298372857,3.1129819252906312,0
com_thinkdirty_thinkdirtyapp,1,1,0,0,0,0,1,0,1,0,0,0,0,1,7.774435510302958,2.302585092994046,1,9.429450839176106,11.088476294450215,3.8918202981106265,0.0241674185347063,0.8079268241853365,3.155191380228312,0
com_sinyee_babybus_townprincess,0,1,0,1,1,1,1,0,0,0,1,0,0,0,8.763584409450138,2.19722457733622,0,9.894410000019445,11.088476294450215,3.8918202981106265,0.0057519182171129,0.7265275682454246,2.686311616156468,0
com_tayasui_sketches,0,1,0,1,1,1,1,0,0,0,0,0,0,0,8.615408238913192,2.19722457733622,0,9.82722801433732,11.088476294450215,3.8918202981106265,0.0107587949349949,0.7179030294539025,2.855550191715528,0
com_teleparty_android,1,1,0,0,0,0,1,0,0,0,0,0,0,1,7.540621528657152,2.079441541679836,0,9.235417141348709,11.088476294450215,3.8918202981106265,0.0291099595559078,0.8147525088885097,3.04503473612227,0
com_splendapps_splendo,0,1,0,1,1,1,1,0,0,0,0,0,0,0,7.793586803371584,2.3978952727983707,1,9.049563226962126,11.088476294450215,3.8918202981106265,0.0246898636990707,0.8555033351062427,2.391958052458459,0
com_talker_acr,1,1,1,1,1,1,1,0,0,0,0,0,0,1,7.709756864454165,2.3978952727983707,0,9.475621591367222,11.088476294450215,3.8918202981106265,0.0258510051371329,0.8390132820251751,3.584493046160356,0
com_tapastic,1,1,0,1,1,1,1,0,1,0,0,0,0,1,8.175829008714597,2.079441541679836,0,9.684958023596472,11.088476294450215,3.044522437723423,0.0165154438545036,0.7738187510905618,2.745773772533715,0
com_square_enix_android_googleplay_mangaup_global,1,1,0,0,0,1,0,0,0,0,0,0,0,1,7.732807530422021,2.302585092994046,1,9.30815965673268,11.088476294450215,3.8918202981106265,0.0256053914767093,0.8554093674055626,3.13635637002449,0
