app_name,srv_androidx.room.multiinstanceinvalidationservice,rcv_androidx.work.impl.background.systemalarm.constraintproxyupdatereceiver,perm_android.permission.access_adservices_topics,prv_com.google.firebase.provider.firebaseinitprovider,srv_androidx.work.impl.background.systemjob.systemjobservice,rcv_androidx.work.impl.background.systemalarm.constraintproxy$networkstateproxy,srv_com.google.android.datatransport.runtime.backends.transportbackenddiscovery,act_com.google.android.play.core.common.playcoredialogwrapperactivity,perm_com.google.android.finsky.permission.bind_get_install_referrer_service,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterychargingproxy,rcv_com.google.android.gms.measurement.appmeasurementreceiver,rcv_androidx.work.impl.background.systemalarm.constraintproxy$batterynotlowproxy,rcv_com.google.android.datatransport.runtime.scheduling.jobscheduling.alarmmanagerschedulerbroadcastreceiver,srv_androidx.work.impl.background.systemalarm.systemalarmservice,srv_com.google.firebase.components.componentdiscoveryservice,perm_com.google.android.gms.permission.ad_id,perm_android.permission.access_adservices_attribution,srv_com.google.android.datatransport.runtime.scheduling.jobscheduling.jobinfoschedulerservice,prv_com.google.android.gms.ads.mobileadsinitprovider,srv_com.google.android.gms.measurement.appmeasurementjobservice,perm_android.permission.foreground_service,srv_androidx.work.impl.foreground.systemforegroundservice,srv_com.google.android.gms.ads.adservice,rcv_androidx.work.impl.diagnostics.diagnosticsreceiver,rcv_androidx.profileinstaller.profileinstallreceiver,act_com.google.android.gms.ads.outofcontexttestingactivity,rcv_androidx.work.impl.utils.forcestoprunnable$broadcastreceiver,perm_android.permission.post_notifications,rcv_androidx.work.impl.background.systemalarm.constraintproxy$storagenotlowproxy,prv_androidx.startup.initializationprovider,perm_android.permission.access_adservices_ad_id,srv_com.google.android.gms.measurement.appmeasurementservice,rcv_androidx.work.impl.background.systemalarm.reschedulereceiver,access_location,write_file,used_requestnetwork,read_contacts,used_sendtextmessage,has_fatal_exception,activity_started,max_inter_arrival_time,unique_dest_ips,avg_inter_arrival_time,uncommon_ports_used,suspicious_user_agent,skew_packet_size,flow_entropy,std_packet_size,ip_only_traffic,high_dns_queries,total_bytes,dns_queries,many_unique_ips,min_packet_size,avg_packet_size,min_inter_arrival_time,total_packets,frequent_beaconing_detected,max_packet_size,avg_flow_duration,unique_flows,label
com_pocketfm_toons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.1143327613280323,1.9459101490553132,0.0088656439570009,0,0,0.5164957488856864,0.7410087129529365,10.242447254816271,1,0,18.28409647890851,0.0,0,3.8918202981106265,9.859509506974993,0.0,8.424858580213442,0,11.088476294450215,0.0088656439570009,2.1972245773362196,0
com_rapido_passenger,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,2.9906483761349634,2.0794415416798357,0.0317619273479319,0,0,0.4688206530561913,0.8076542561800507,10.170962979652913,1,0,17.213488195141064,0.0,0,3.044522437723423,9.662364930283015,0.0,7.55171221535131,1,11.088476294450215,0.0317619273479319,2.3978952727983707,0
com_pocketfm_tv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2.955435707410901,2.1972245773362196,0.0085123558450876,0,0,0.4953281149371297,0.7355329489378983,10.25158023729854,1,0,18.70263549406023,0.0,0,3.044522437723423,9.887316301983272,0.0,8.815518423966498,1,11.088476294450215,0.0085123558450876,2.5649493574615367,0
com_qidian_Int_reader,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,3.6953657691145954,2.0794415416798357,0.0118973760932327,0,0,0.521482346239004,0.7221331479277233,10.244557347830948,1,0,18.37271966000093,0.0,0,3.8918202981106265,9.877414474817218,0.0,8.495560891289124,0,11.088476294450215,0.0118973760932327,2.302585092994046,0
com_rails_red,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3.877276743442187,1.9459101490553132,0.0144438095236182,0,0,0.4953027254563492,0.7706117457666483,10.207903536675497,1,0,18.104344651553397,0.0,0,4.110873864173311,9.768011412973678,0.0,8.336630087637147,0,11.088476294450215,0.0144438095236182,2.1972245773362196,0
com_poncho_eatclub,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2.6062222590312594,2.1972245773362196,0.0173955567503044,0,0,0.515931771897035,0.8225565674442747,10.251622384810794,1,0,18.010491876439602,0.0,0,3.8918202981106265,9.887874626084113,0.0,8.12296471523406,1,11.088476294450215,0.0173955567503044,2.4849066497880004,0
com_radio_fmradio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2.9616138977826227,2.1972245773362196,0.0183372336884786,0,0,0.5203253135281448,0.7810144956548799,10.234689184672598,1,0,17.91476043609476,0.0,0,3.8918202981106265,9.858068969193315,0.0,8.057060681965766,1,11.088476294450215,0.0183372336884786,2.4849066497880004,0
com_plexapp_android,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,3.160911744508952,2.0794415416798357,0.0195241955382376,0,0,0.4926764078908568,0.8325349585902464,10.210881050688934,1,0,17.768244031693857,0.0,0,3.8918202981106265,9.764269974997946,0.0,8.004365564979574,0,11.088476294450215,0.0195241955382376,2.302585092994046,0
com_raincan_android_hybrid,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,3.0523705115343747,2.1972245773362196,0.0296795965363077,0,0,0.4660626514459512,0.8679649161240561,10.165302503600474,1,0,17.204706509706998,0.0,0,3.8918202981106265,9.649388998752052,0.0,7.555905093611346,0,11.088476294450215,0.0296795965363077,2.4849066497880004,0
com_pixverseai_pixverse,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,3.659177128370719,1.9459101490553132,0.0193481806992746,0,0,0.5193211756517037,0.7591495415562034,10.240978676753253,1,0,17.834975886584427,0.0,0,3.8918202981106265,9.861183654610604,0.0,7.974188669286011,0,11.088476294450215,0.0193481806992746,2.1972245773362196,0
